cif_filename,formula,space_group,n_atoms,n_Co,n_Bi
Co6_Bi3_m2_n1_z3_sg164_trial000_7d753bc00d.cif,Co6Bi3,164,9,6,3
Co6_Bi3_m2_n1_z3_sg166_trial000_9dd5b1918f.cif,Co6Bi3,166,9,6,3
Co6_Bi3_m2_n1_z3_sg175_trial000_cb11cbf91a.cif,Co6Bi3,175,9,6,3
Co6_Bi3_m2_n1_z3_sg177_trial000_74577fa661.cif,Co6Bi3,177,9,6,3
Co6_Bi3_m2_n1_z3_sg174_trial000_c9538cedc1.cif,Co6Bi3,174,9,6,3
Co6_Bi3_m2_n1_z3_sg183_trial000_8e87e8cb0f.cif,Co6Bi3,183,9,6,3
Co6_Bi3_m2_n1_z3_sg180_trial000_b771353592.cif,Co6Bi3,180,9,6,3
Co6_Bi3_m2_n1_z3_sg181_trial000_0cf898bc64.cif,Co6Bi3,181,9,6,3
Co6_Bi3_m2_n1_z3_sg148_trial000_aac5051479.cif,Co6Bi3,148,9,6,3
Co6_Bi3_m2_n1_z3_sg191_trial000_dbddefd6c4.cif,Co6Bi3,191,9,6,3
Co6_Bi3_m2_n1_z3_sg195_trial000_0dd0567aa4.cif,Co6Bi3,195,9,6,3
Co8_Bi4_m2_n1_z4_sg002_trial000_1f1bf9c390.cif,Co8Bi4,2,12,8,4
Co8_Bi4_m2_n1_z4_sg003_trial000_a22d9bcf52.cif,Co8Bi4,3,12,8,4
Co8_Bi4_m2_n1_z4_sg008_trial000_4d3e11386b.cif,Co8Bi4,8,12,8,4
Co6_Bi3_m2_n1_z3_sg160_trial000_55cc50182b.cif,Co6Bi3,160,9,6,3
Co8_Bi4_m2_n1_z4_sg014_trial000_7306643fd4.cif,Co8Bi4,14,12,8,4
Co8_Bi4_m2_n1_z4_sg015_trial000_f2c8a3697b.cif,Co8Bi4,15,12,8,4
Co8_Bi4_m2_n1_z4_sg019_trial000_32fede5588.cif,Co8Bi4,19,12,8,4
Co6_Bi3_m2_n1_z3_sg215_trial000_90761e4e6d.cif,Co6Bi3,215,9,6,3
Co8_Bi4_m2_n1_z4_sg018_trial000_820018a20f.cif,Co8Bi4,18,12,8,4
Co8_Bi4_m2_n1_z4_sg021_trial000_f9a204354e.cif,Co8Bi4,21,12,8,4
Co8_Bi4_m2_n1_z4_sg010_trial000_7a76647424.cif,Co8Bi4,10,12,8,4
Co8_Bi4_m2_n1_z4_sg024_trial000_8a417bfcba.cif,Co8Bi4,24,12,8,4
Co8_Bi4_m2_n1_z4_sg022_trial000_13711cc833.cif,Co8Bi4,22,12,8,4
Co8_Bi4_m2_n1_z4_sg028_trial000_572a6f2a6d.cif,Co8Bi4,28,12,8,4
Co8_Bi4_m2_n1_z4_sg031_trial000_4afd926b1e.cif,Co8Bi4,31,12,8,4
Co8_Bi4_m2_n1_z4_sg033_trial000_4a7a93be98.cif,Co8Bi4,33,12,8,4
Co8_Bi4_m2_n1_z4_sg023_trial000_11fc740146.cif,Co8Bi4,23,12,8,4
Co8_Bi4_m2_n1_z4_sg034_trial000_acdb54563e.cif,Co8Bi4,34,12,8,4
Co8_Bi4_m2_n1_z4_sg036_trial000_0a1fa1b454.cif,Co8Bi4,36,12,8,4
Co8_Bi4_m2_n1_z4_sg037_trial000_375bbc9011.cif,Co8Bi4,37,12,8,4
Co8_Bi4_m2_n1_z4_sg041_trial000_7c66b7bf46.cif,Co8Bi4,41,12,8,4
Co8_Bi4_m2_n1_z4_sg045_trial000_3789d4508c.cif,Co8Bi4,45,12,8,4
Co8_Bi4_m2_n1_z4_sg046_trial000_eecfe59da5.cif,Co8Bi4,46,12,8,4
