"candidate_id","target_system","formula","source_system","source_formula","source_material_id","prototype_label","n_atoms","initial_file_path"
"cobi_pyxtal_00065","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_100_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg100_trial000_22db5cc3a0.cif"
"cobi_pyxtal_00066","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_94_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg094_trial000_2115ed03ea.cif"
"cobi_pyxtal_00067","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_101_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg101_trial000_2076cc4a5f.cif"
"cobi_pyxtal_00068","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_102_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg102_trial000_3d91063e09.cif"
"cobi_pyxtal_00069","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_107_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg107_trial000_5d768e0231.cif"
"cobi_pyxtal_00070","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_112_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg112_trial000_cccceba1b1.cif"
"cobi_pyxtal_00071","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_114_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg114_trial000_b8ed0aab8d.cif"
"cobi_pyxtal_00072","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_116_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg116_trial000_a8498d266a.cif"
"cobi_pyxtal_00073","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_118_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg118_trial000_2fc644db2f.cif"
"cobi_pyxtal_00074","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_124_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg124_trial000_24c7935ed3.cif"
