cif_filename,formula,m,n,z,space_group,trial,seed,n_Co,n_Bi,n_atoms,volume,density,packing_fraction,min_CoCo,min_BiBi,min_CoBi,fingerprint
Co2_Bi2_m1_n1_z2_sg116_trial000_a8498d266a.cif,Co2Bi2,1,1,2,116,0,1782995515,2,2,4,56.909598,15.634656,0.825161,4.189622,4.189622,2.790000,a8498d266a857773d8f3eaa4d64b5bf20499eabd
Co2_Bi2_m1_n1_z2_sg118_trial000_2fc644db2f.cif,Co2Bi2,1,1,2,118,0,884855429,2,2,4,117.735041,7.557325,0.398858,4.893427,4.893427,2.790000,2fc644db2f00f2c5822990a72bb47eb2eb4e807f
Co2_Bi2_m1_n1_z2_sg124_trial000_24c7935ed3.cif,Co2Bi2,1,1,2,124,0,1997884217,2,2,4,61.937686,14.365438,0.758175,3.911977,3.911977,2.790000,24c7935ed35ed734ebd2e5b7d7a9a42af19f5838
Co2_Bi2_m1_n1_z2_sg125_trial000_eacdd2859f.cif,Co2Bi2,1,1,2,125,0,1697096528,2,2,4,321.963172,2.763552,0.145854,5.371196,5.371196,2.790000,eacdd2859fa29d6c98139e921190c76bd9f22687
Co2_Bi2_m1_n1_z2_sg123_trial000_f82d6971ca.cif,Co2Bi2,1,1,2,123,0,3174277717,2,2,4,327.494271,2.716878,0.143391,3.945656,6.574614,2.790000,f82d6971caa85f29a2997dd1612a788ecbd2748c
Co2_Bi2_m1_n1_z2_sg126_trial000_785ec34c71.cif,Co2Bi2,1,1,2,126,0,2907759738,2,2,4,99.262777,8.963702,0.473084,4.083946,4.083946,2.790000,785ec34c710fc7c7dd3bd1eed0ad14c92425b7e7
Co2_Bi2_m1_n1_z2_sg128_trial000_8f420f3a3d.cif,Co2Bi2,1,1,2,128,0,409413823,2,2,4,278.275063,3.197419,0.168752,5.720065,5.720065,2.790000,8f420f3a3da0d2854e090560c1127904dcf052f2
Co2_Bi2_m1_n1_z2_sg129_trial000_4b74316be2.cif,Co2Bi2,1,1,2,129,0,2743499393,2,2,4,64.864066,13.717333,0.723969,3.795162,3.751337,2.790000,4b74316be2e5689eca975adc92facac25424c178
Co2_Bi2_m1_n1_z2_sg131_trial000_3f8cf9736c.cif,Co2Bi2,1,1,2,131,0,2075787188,2,2,4,108.444154,8.204794,0.433030,3.482874,3.482874,2.790000,3f8cf9736c208f0d6ed83ca58dc1cc931ef51a28
Co2_Bi2_m1_n1_z2_sg134_trial000_02fecd17f9.cif,Co2Bi2,1,1,2,134,0,1101434804,2,2,4,121.216563,7.340267,0.387402,4.789592,4.789592,2.790000,02fecd17f9dbdb4c9baa8fd7ed818ba1bacf89dc
Co2_Bi2_m1_n1_z2_sg136_trial000_1ab049a447.cif,Co2Bi2,1,1,2,136,0,377698176,2,2,4,144.052751,6.176640,0.325989,4.548852,4.548852,2.790000,1ab049a447acb8562dad782dbb66f2794a64b281
Co1_Bi1_m1_n1_z1_sg191_trial000_a6b98b7590.cif,Co1Bi1,1,1,1,191,0,1641010789,1,1,2,67.423310,6.598326,0.348245,,,2.790000,a6b98b759051fa068fccc06bb1efba169369a985
Co2_Bi2_m1_n1_z2_sg150_trial000_ae1b8a0b59.cif,Co2Bi2,1,1,2,150,0,21220151,2,2,4,88.647557,10.037073,0.529734,2.213903,2.831704,2.790000,ae1b8a0b59937f80e30aa8e197376710c8caa380
Co2_Bi2_m1_n1_z2_sg158_trial000_70a0c1d985.cif,Co2Bi2,1,1,2,158,0,2508613244,2,2,4,93.023554,9.564911,0.504814,2.345980,2.345980,2.790000,70a0c1d9858d6e52d46a9ee611da21f610211bfa
Co2_Bi2_m1_n1_z2_sg162_trial000_2269ccc32e.cif,Co2Bi2,1,1,2,162,0,4196638456,2,2,4,114.506994,7.770372,0.410102,2.790000,2.831012,2.790000,2269ccc32ea44863fa7f28db5e6d4868a59f9f20
