chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Bi-Co,9vJF_zpIWIIC42yUBzMfSInkqjRn,AFLOW,BiCo3,187.0,P-6m2,,,False
Bi-Co,9woKnucLXw500HyV5cjxXsDuE_rP,AFLOW,Bi5Co4,139.0,I4/mmm,,V4Zn5,False
Bi-Co,ABBOivT_dyHQyVk3BY0vQaUUfKA7,AFLOW,Bi4Co2,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,AENu5-bSwNYn2fcyJtJ41NLP0xlU,AFLOW,Bi6Co3,189.0,P-62m,C22,Fe2P,False
Bi-Co,AeIpxJxs7tK-PZKUfyT5l9uFMG3n,AFLOW,Bi2Co2,194.0,P6_3/mmc,B81,AsNi,False
Bi-Co,AiC3arl7-oB970za2ooIRFwilqQZ,AFLOW,BiCo2,191.0,P6/mmm,C32,AlB2,False
Bi-Co,Aru1TrveJmj393dTrtmxH-qy15vU,AFLOW,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,AsQyygzxKftCuokImX2IzSVWCX-Q,AFLOW,Bi2Co4,58.0,Pnnm,,CFe2,False
Bi-Co,B0MP-Ch62998KpM-pSU6PIF_lzQA,OQMD,Bi3Co,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,B7Iecq6vqCzI-8P7KNzcHxsMklIy,AFLOW,BiCo2,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,BFi6yDWQJVZXDvx595i0CAq5uOEK,AFLOW,BiCo4,87.0,I4/m,D1a,MoNi4,False
Bi-Co,BM5EVpL4qgDke870x6wob3lyw6NW,AFLOW,BiCo2,123.0,P4/mmm,,,False
Bi-Co,BOKyTcRJY9-xrAJiYi-U4xrQEQ0Y,AFLOW,Bi2Co,191.0,P6/mmm,C32,AlB2,False
Bi-Co,BlO_ljAHTEFrD5p_9N7_WnIWRCTx,AFLOW,Bi2Co,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,BpyRkaxCOBl1QGHpHyV_8UJwdQf7,AFLOW,Bi2Co2,51.0,Pmma,B19,AuCd,False
Bi-Co,BvKTYw4kIsfVumX6rshR4-y-Tr1c,AFLOW,BiCo3,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,CCJT1XLJbwhQW6SiAOhMItJbmrSu,AFLOW,Bi5Co3,65.0,Cmmm,,Ga3Pt5,False
Bi-Co,CI9ia4kae0L3bKUfMS2vUoXYRqwR,AFLOW,Bi2Co,164.0,P-3m1,C6,CdI2,False
Bi-Co,COfSkettVfh_IzcdFqCUbIbKqDf5,AFLOW,Bi2Co2,129.0,P4/nmm,B11,CuTi,False
Bi-Co,CS0XINSjHHm61VODhZ2oB9jr5ZrQ,OQMD,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,CZIC-W_b1p2P-eLn5-_LDQSpgqGg,AFLOW,Bi6Co2,194.0,P6_3/mmc,D019,Ni3Sn,False
Bi-Co,C_xSn7lmcF_vuqKmTupKHGRrojWy,AFLOW,Bi5Co,8.0,Cm,,,False
Bi-Co,CamRaf5p1tEliYfrD4YKFgzlUher,OQMD,BiCo3,139.0,I4/mmm,D022,Al3Ti,False
Bi-Co,CjIyd_ecLj_F25wBDEhHpHGJ2Cmt,OQMD,BiCo3,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,Cnt9VIsyAinrw-t3VewI9A4u0nJT,AFLOW,Bi3Co,44.0,Imm2,,,False
Bi-Co,CoybysecnY72mMIJZ7Ujb872k1T_,AFLOW,Bi2Co4,12.0,C2/m,,,False
Bi-Co,CsocaYMUv5uthNLU0DlMm7wrcbl8,AFLOW,Bi2Co2,227.0,Fd-3m,B32,NaTl,False
Bi-Co,D0smOj9Hom9f87_dThgrZRqyoCV7,AFLOW,BiCo5,38.0,Amm2,,,False
Bi-Co,DC4VA8Qq0wA8spJkQ2XbVKB0swWa,Miguel Marques,BiCo,217.0,I-43m,,,True
Bi-Co,DJgwR3nAbBstX3nbYlBAMjNX6mHg,AFLOW,Bi6Co2,63.0,Cmcm,,,False
Bi-Co,DRU7n3ESE3ERZAVNVrd1KJft2xMj,Materials Project,BiCo3,139.0,I4/mmm,D022,Al3Ti,False
Bi-Co,DRdMPncoM9g3EU4WY4v1_O9ik4gE,AFLOW,Bi2Co2,129.0,P4/nmm,B10,OPb,False
Bi-Co,DXwW1ZuqUZmqiPMUcmncI890tNIu,AFLOW,Bi2Co2,63.0,Cmcm,B33,BCr,False
Bi-Co,Da7I9VUdIxDD9OIyXOnSOPyb5ti9,AFLOW,Bi2Co4,8.0,Cm,,,False
Bi-Co,Dczx3g7NZMPUZsz5_ihdlmhHCVfw,AFLOW,BiCo,166.0,R-3m,L11,CuPt,False
Bi-Co,DhAskqgfyoEnfczJM90oxImLjzso,AFLOW,Bi2Co2,129.0,P4/nmm,B11,CuTi,False
Bi-Co,DjKxfB6dmRdODyLwcxWKj3C1lmE3,AFLOW,Bi3Co,12.0,C2/m,,,False
Bi-Co,DmtJ7rOBDjuf9j2EtQrbgGTv6Qli,AFLOW,Bi4Co2,140.0,I4/mcm,C16,Al2Cu,False
Bi-Co,DnYX5Hdy_TpxNsonrot_st9zq7FP,AFLOW,BiCo3,225.0,Fm-3m,D03,BiF3,False
Bi-Co,DpvP7qiyzCUnpg_TTTQvWdKPMf0X,AFLOW,Bi2Co2,129.0,P4/nmm,B11,CuTi,False
Bi-Co,Ds7-pIAPj63Avsh2pdjfM7Vftu31,OQMD,Bi4Co2,136.0,P4_2/mnm,C4,O2Ti,False
Bi-Co,E1IH108Log49vSROgf9ToQ4gcBXz,AFLOW,Bi3Co,44.0,Imm2,,,False
