chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Co-Si,Q0m7cutOgUcslvn1x_S7Gsfyr3PA,Miguel Marques,CoSi,166.0,R-3m,,,True
Co-Si,Q6IXMhJf9TtPG-5byxRWH_Fc28h3,Miguel Marques,CoSi3,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Si,QGqGkYrE3oZ_9hW948OjYASAj_g4,Miguel Marques,Co2Si,62.0,Pnma,C25,Cl2Hg,True
Co-Si,QKVAAfs6HU1xRtv1Uaddf1hmQAYP,AFLOW,Co5Si4,139.0,I4/mmm,,V4Zn5,False
Co-Si,QQ_13zWGl7jkz3YpTh6G33OPqMxY,Miguel Marques,CoSi2,189.0,P-62m,C22,Fe2P,True
Co-Si,QS2d_N6QOko77NOBefwZi7Mz3r09,Miguel Marques,Co2Si,62.0,Pnma,C25,Cl2Hg,True
Co-Si,QSzx-fzZAwLzmfNfN-mO6QZPoeuv,AFLOW,Co3Si,10.0,P2/m,,,False
Co-Si,QldPVx3mUNSpU4J5v2CSLzYU1CD5,AFLOW,Co4Si12,62.0,Pnma,D011,CFe3,False
Co-Si,QvTb7y0NlPK8M5KywfTYPjLOrAwE,AFLOW,CoSi2,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,R-tq76JxLdBTl3eOUg-tIad-ugOV,AFLOW,Co3Si,139.0,I4/mmm,,,False
Co-Si,R2k9PmMA-Y9uoASPW21cwNOPJcvw,AFLOW,Co3Si,221.0,Pm-3m,D09,O3Re,False
Co-Si,R82SJBtW6un25h6o92PewdKPyhKl,Miguel Marques,CoSi2,225.0,Fm-3m,C1,CaF2,True
Co-Si,RUSPDQpjRwT0rvCuYJ8tB9w__mQ4,AFLOW,Co2Si,123.0,P4/mmm,,,False
Co-Si,RWWlm26x_CfZX12NX-hCpL367z78,AFLOW,Co2Si2,12.0,C2/m,,,False
Co-Si,RWvJhb_ZuSc5zGXtX3epn1y7Jswh,AFLOW,Co12Si4,194.0,P6_3/mmc,D024,Ni3Ti,False
Co-Si,RZspChG1xW_EDKTPO0Fy12v7mMU4,OQMD,Co3Si,221.0,Pm-3m,L12,AuCu3,False
Co-Si,R_fS4I8QAYp3ATDb7Pr__oScOUwT,AFLOW,Co4Si,229.0,Im-3m,,Hg4Pt,False
Co-Si,Ras75sNjxnxPqwoyklphBSuPTe-t,Miguel Marques,CoSi3,123.0,P4/mmm,,,True
Co-Si,RbbYeYOrLvxeMcBOWX79m6UomRvL,Miguel Marques,Co5Si4,139.0,I4/mmm,,V4Zn5,True
Co-Si,Rk4_rYGm0DrSFOBBKuwbu1rkvYRF,AFLOW,CoSi3,139.0,I4/mmm,D022,Al3Ti,False
Co-Si,S3ZwL67c3HuiqxCpXcmloytOy86a,AFLOW,CoSi2,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,S4rrf9N1phorfAyDva8R0C2v90K0,AFLOW,Co2Si6,223.0,Pm-3n,A15,Cr3Si,False
Co-Si,SDYCCMNp-XT0PNnL7-p43jfM7H2c,AFLOW,Co4Si2,140.0,I4/mcm,C16,Al2Cu,False
Co-Si,SNLP651Y_eRIX67U4rkOw0AGbZnX,Miguel Marques,Co3Si2,164.0,P-3m1,D513,Al3Ni2,True
Co-Si,SO-t3k6Kh2_kPbQk05Qf5WT3lbT9,Miguel Marques,CoSi2,225.0,Fm-3m,C1,CaF2,True
Co-Si,SjX8kxk0-UHNw1bpa7RUWqDL-yWb,AFLOW,Co8Si4,141.0,I4_1/amd,,Ga2Hf,False
Co-Si,Sva-oqTkgjg17Dw393v51sftmBFa,AFLOW,Co2Si,164.0,P-3m1,C6,CdI2,False
Co-Si,Sx9j4D-7oh7U3aPqVzMsOXcvH4YJ,Miguel Marques,Co5Si4,139.0,I4/mmm,,V4Zn5,True
Co-Si,TBWPr9FUDL0vTg37FSIaeoA5Vr73,Akhil S nair,Co2Si,62.0,Pnma,C25,Cl2Hg,True
Co-Si,TH7yhbhQGHjKk8uUXQ9Q3ig7m8NW,Miguel Marques,Co2Si,194.0,P6_3/mmc,,,True
Co-Si,THznpWYSV_lW0bfjoBUcS3wbtye2,Miguel Marques,Co3Si,221.0,Pm-3m,D09,O3Re,True
Co-Si,TIi0GjCS5fziwZkmDCcsD5GNpFa0,AFLOW,Co3Si,44.0,Imm2,,,False
Co-Si,TNYjLZ-kkl1R1-PnxT1yrjZbJkMA,OQMD,Co6Si2,194.0,P6_3/mmc,D019,Ni3Sn,False
Co-Si,TPnan7ZwjcbTnWYI_omStur22tR9,OQMD,CoSi,221.0,Pm-3m,B2,ClCs,False
Co-Si,TWqDi4LMOfGaR-HFP6aMm6hfiPjl,Blake Dallmann,CoSi2,225.0,Fm-3m,C1,CaF2,True
Co-Si,TeFvn8GvEXH6Wi4K-YV1r0E5Z_xi,AFLOW,Co4Si,139.0,I4/mmm,D13,Al4Ba,False
Co-Si,TfGBABWBJD0wNFi_qqtoBuDebBES,OQMD,Co4Si4,198.0,P2_13,B20,FeSi,False
Co-Si,TtZamDob2NZ1rljv8Uhcgf-u-8UG,AFLOW,Co2Si2,166.0,R-3m,,,False
Co-Si,TwZyubJckOUdgrFY5lDEZrpa3yCV,AFLOW,CoSi3,12.0,C2/m,,,False
Co-Si,UIy-oqLdRtRz_1OBru_Z5b1DFVfy,AFLOW,Co2Si4,74.0,Imma,,,False
Co-Si,UOjBvr9-7KZTbpE7KoYXklBy-ODd,OQMD,CoSi,221.0,Pm-3m,B2,ClCs,False
Co-Si,UQHiPtmNHGX3dUH8LxN7mODpzgIY,AFLOW,Co3Si,12.0,C2/m,,,False
Co-Si,UU-wJxxymGKAYqVHGFLw7ZmD3MQA,AFLOW,Co2Si2,129.0,P4/nmm,B10,OPb,False
Co-Si,UWp9GdesR-UQOL1TtOY7G2GJQ98-,Materials Project,Co3Si,194.0,P6_3/mmc,D019,Ni3Sn,False
Co-Si,UXDnKZ03LlHwLrIYmP2nfULmAeVB,Miguel Marques,CoSi2,189.0,P-62m,C22,Fe2P,True
Co-Si,Ua1ZIGzWHFN0CTrioLFkgU1sw5e-,OQMD,CoSi,187.0,P-6m2,,,False
Co-Si,UaR41tujNIYfd7Lb9Ea9fXJk-ZOd,AFLOW,Co8Si16,194.0,P6_3/mmc,C36,MgNi2,False
Co-Si,Un4mgZCDlkKHhZOu3eCWSr-3ZBi0,Miguel Marques,Co2Si,63.0,Cmcm,,,True
Co-Si,UuayB74H6cX4MC31FfxVUwle4KTf,AFLOW,CoSi3,10.0,P2/m,,,False
Co-Si,V-NDGFz-j3Sh-wYVQaE4-KpAp-Qs,AFLOW,Co2Si4,194.0,P6_3/mmc,B82,InNi2,False
Co-Si,V9EQ28JJ8SO86vCVQIJxqBfYFJcK,AFLOW,Co2Si2,59.0,Pmmn,,,False
Co-Si,VDYDgkS7SH5BAd_fR80hOlhUBHoe,AFLOW,Co8Si4,141.0,I4_1/amd,,Ga2Hf,False
Co-Si,VFc-WWefJPApIWot79lzdBNnJHv2,OQMD,CoSi,225.0,Fm-3m,B1,ClNa,False
Co-Si,VJ8s0gsrEf8BBR_P_dTC7FsjJOHV,Miguel Marques,CoSi3,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Si,VLcEs36W0_u4Z_E9qWP7uG-k78xO,OQMD,CoSi,166.0,R-3m,L11,CuPt,False
Co-Si,VOXChIkRMXd6HsCwlUbAxZ9l_xtW,AFLOW,Co5Si4,139.0,I4/mmm,,V4Zn5,False
Co-Si,VSha6wDBl3dRuhYbKfd7RgHD24sn,OQMD,Co4Si4,198.0,P2_13,B20,FeSi,False
Co-Si,VZX-BBcef9yJ8MBEoTkIKxQCJcx5,OQMD,CoSi,225.0,Fm-3m,B1,ClNa,False
Co-Si,VejMKh0Fl5y3jPfy0-nktE8ssVFR,Miguel Marques,CoSi,225.0,Fm-3m,B1,ClNa,True
Co-Si,ViaVSloXgaF6Nx4KAu0He8iI4fFY,Miguel Marques,Co3Si,221.0,Pm-3m,D09,O3Re,True
Co-Si,VjZ_JqSU6ismx5Fi0XswM0bpNeNQ,AFLOW,Co4Si2,12.0,C2/m,,,False
Co-Si,Vlvh_TcbV2ihSqu4SIdq36B_CuhO,OQMD,CoSi,221.0,Pm-3m,B2,ClCs,False
Co-Si,VnSbVLvrXMaYq9f3zHff1SL8_ScI,OQMD,Co4Si6,167.0,R-3c,D51,Al2O3,False
Co-Si,VobjQ4ovzM03LmQnVIg7hy8hgaWp,Miguel Marques,Co7Si,225.0,Fm-3m,,,True
Co-Si,VswCNk9wXUW0EhPGb-kB_L9N-Di-,AFLOW,Co2Si,225.0,Fm-3m,C1,CaF2,False
Co-Si,Vw0aYg-YRVbRgVHtxXJTv017ZFks,AFLOW,CoSi5,38.0,Amm2,,,False
Co-Si,Vwd1QaIpATkCJ5UtZmuXW8m_Mewg,AFLOW,Co3Si,166.0,R-3m,,,False
Co-Si,VysXpY0f7_2_c0tG9JjOe9jdl0EI,AFLOW,CoSi3,221.0,Pm-3m,D09,O3Re,False
Co-Si,W1O-sexudDLdkD065PVBjV79z3YZ,AFLOW,Co2Si3,166.0,R-3m,C33,Bi2Te3,False
Co-Si,W1_mTke7nTwGiApQkpfMgfvge964,AFLOW,Co2Si2,227.0,Fd-3m,B32,NaTl,False
Co-Si,W2ox-_KyZdR2gOKjiQL3mVDFkdh_,AFLOW,Co12Si4,62.0,Pnma,D011,CFe3,False
Co-Si,W76yId8MNsBnuUzq-hQjaESVIbjC,AFLOW,Co4Si2,8.0,Cm,,,False
Co-Si,WAQQyyu3lbOUvJR80CvJpKWP5iI0,OQMD,Co4Si6,167.0,R-3c,D51,Al2O3,False
Co-Si,WB0vn7Wo6-_D9KIqDC_aes-Oc-YR,AFLOW,Co2Si4,12.0,C2/m,,,False
Co-Si,WG5oFg21x68YqRlu9ITTIVIhKGUZ,Miguel Marques,Co2Si,12.0,C2/m,,,True
Co-Si,WGs9IdzH71mi9FFslYP5sLIOPySK,AFLOW,CoSi2,164.0,P-3m1,C6,CdI2,False
Co-Si,WPSNL1NqvAafo5IVblYfE17ixlVJ,AFLOW,Co6Si2,194.0,P6_3/mmc,D019,Ni3Sn,False
Co-Si,WQPfGnyVHfwDxsM0cKOw4z-LbArk,AFLOW,CoSi3,139.0,I4/mmm,D022,Al3Ti,False
Co-Si,WTw5UOUEum0T28ldrshzpe2oDi1h,Miguel Marques,Co8Si,139.0,I4/mmm,,Pt8Ti,True
Co-Si,WgFEv5O3RsgmNG2x1Vd6HuB-iM-o,OQMD,Co4Si4,198.0,P2_13,B20,FeSi,False
Co-Si,WqCsltRts_mJvzhR-I9Tc0ho6ouB,AFLOW,CoSi,221.0,Pm-3m,B2,ClCs,False
Co-Si,WvxEsQkuonC8vk3V1IQ3tVSyN2HT,AFLOW,Co2Si4,8.0,Cm,,,False
Co-Si,WwqJqeN1h8dGOF6qwJ7GEcKkY6es,Miguel Marques,Co3Si,140.0,I4/mcm,D0c,SiU3,True
Co-Si,X0J5UWu0aK-3BIwHNblGNGmmKH6Q,AFLOW,Co2Si2,186.0,P6_3mc,B4,SZn,False
Co-Si,XIBoVaFHtqrT5S2MWBpLCCnM6_4n,AFLOW,Co5Si,191.0,P6/mmm,D2d,CaCu5,False
Co-Si,XMiVSFyU_x_vZixYLF60NV0CMxBO,AFLOW,Co8Si4,194.0,P6_3/mmc,C14,MgZn2,False
Co-Si,XYbzmPLAufkIKJ0RA7EOMVl_Rw9r,AFLOW,Co2Si6,63.0,Cmcm,,,False
Co-Si,Xch4OCocR25q3i_tAc8JszkTxtCT,OQMD,CoSi,225.0,Fm-3m,B1,ClNa,False
Co-Si,Xim09c2w3RwjajCMYztC2GduCg-_,AFLOW,Co2Si4,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,XniCdqqOljwfbmXm5l8YzD4qAGUN,Miguel Marques,CoSi7,225.0,Fm-3m,,Ca7Ge,True
Co-Si,Xt41rSoAHniPYdf_UhTAO7IUGX8u,AFLOW,CoSi5,123.0,P4/mmm,,,False
Co-Si,Xw8524S2tBBxC6ChUG1vjYYkhtHH,AFLOW,Co2Si2,141.0,I4_1/amd,"""40""",NbP,False
Co-Si,Y0-tuGBJQyrtVrQsxFegYfW7O8rk,AFLOW,Co3Si,139.0,I4/mmm,,,False
Co-Si,YGRzF_ol_uAafpMrLRRGBcdW2_mJ,AFLOW,Co6Si3,189.0,P-62m,C22,Fe2P,False
Co-Si,YHHf6YMolfsku_C4kHdGDmmoNM_7,AFLOW,Co2Si2,129.0,P4/nmm,B11,CuTi,False
Co-Si,YQtXlXCRPvt5zss7476zx_mS_xse,AFLOW,CoSi2,225.0,Fm-3m,C1,CaF2,False
Co-Si,YW4W0auEz2bPiReFpp3-TeMBM_gi,Miguel Marques,Co2Si,12.0,C2/m,,,True
Co-Si,Yan12aheC8tgq0ChRwEJKLpLb82O,OQMD,CoSi,216.0,F-43m,,,False
Co-Si,Yod51JISUHvFci0f69TVejnRe98l,Materials Project,Co2Si,62.0,Pnma,C25,Cl2Hg,False
Co-Si,YqaZ29JuemFaGusoL7NIVTOdnZe5,AFLOW,CoSi3,221.0,Pm-3m,L12,AuCu3,False
Co-Si,Ys56ud_LA_VxbWwjGcX-wtqS0OMk,AFLOW,Co7Si6,166.0,R-3m,D85,Fe7W6,False
Co-Si,YwIfWm0sEOmMnE11ZQjQeiDH-15_,AFLOW,CoSi3,166.0,R-3m,,,False
Co-Si,YwRO6DJTsSCT8G9AkkpIcUWQPLSS,Miguel Marques,Co3Si,71.0,Immm,,,True
Co-Si,Z4I12u5bauwhGQrwcn54zyacqc6A,AFLOW,Co3Si,12.0,C2/m,,,False
Co-Si,Z5TCYsr9U7ioCyoNgeiw0jHPGwJS,Miguel Marques,Co2Si,63.0,Cmcm,,,True
Co-Si,ZCvcfPP6qtvSWw8qVDEY5go0HZQV,AFLOW,Co2Si,164.0,P-3m1,C6,CdI2,False
Co-Si,ZE5V1sSgpwOmPm6pWt3xO_ZRmARH,Miguel Marques,Co2Si,12.0,C2/m,,,True
Co-Si,ZJzPODTRBb7ngV5sQx29O_qfMI6O,OQMD,Co3Si,221.0,Pm-3m,L12,AuCu3,False
Co-Si,ZQYMOZ9F6DY6a3E2F0VbYkBclmwc,Miguel Marques,Co5Si,38.0,Amm2,,,True
Co-Si,ZRBdpdlfswmUAd31bysGk-lcexgE,Miguel Marques,Co8Si,139.0,I4/mmm,,Pt8Ti,True
Co-Si,ZaunYrZf3PurZVMTuLxdCFgE2kFF,Miguel Marques,CoSi,194.0,P6_3/mmc,B81,AsNi,True
Co-Si,Zb3GF5gXIhaFLeta-b-hJnsuH_hg,AFLOW,Co2Si,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,ZkpE6BerzYq0Eg1tMqXKYmmvXuGV,Miguel Marques,Co2Si,139.0,I4/mmm,C11b,MoSi2,True
Co-Si,ZmWoBKZUQ2wbA4dU_T3pJzPENWL-,AFLOW,Co5Si,8.0,Cm,,,False
Co-Si,Zoh5EGXUyEVtZ9ofFV79kLXgdRYd,AFLOW,Co3Si,221.0,Pm-3m,L12,AuCu3,False
Co-Si,_-jP9Q2dgdZMR4gUfSggi0Xsu_lE,Akhil S nair,Co3Si7,229.0,Im-3m,D8f,Ge7Ir3,True
Co-Si,_0nYMdYrgIxh2uHG_Lix9yOo_SV3,AFLOW,Co3Si,71.0,Immm,,,False
Co-Si,_3qH_2qO7-ZCEla-RuG9EnwqpwHP,Miguel Marques,Co3Si,59.0,Pmmn,D0a,Cu3Ti,True
Co-Si,_8YWDtwQe7pgTo9iDSK0ihJl55mT,AFLOW,Co2Si,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,_Hq3DrXa7NNujHmhxyGsVg4Gn_NO,Materials Project,CoSi2,225.0,Fm-3m,C1,CaF2,False
Co-Si,_K2ct54zX_zwRJMqU1kAoSoDSLae,AFLOW,Co10Si6,193.0,P6_3/mcm,D88,Mn5Si3,False
Co-Si,_OLuls2DdblpElzkcred-VDeLceX,AFLOW,Co8Si10,193.0,P6_3/mcm,,,False
Co-Si,_ThZtoy929EP7JO20884WEyiwgo-,AFLOW,Co2Si,164.0,P-3m1,C6,CdI2,False
Co-Si,_V_T85NFCb6-32V94eT3Uu5KoiKm,OQMD,Co3Si,221.0,Pm-3m,L12,AuCu3,False
Co-Si,_apw1CxdcVA5zVVL2nzxmum0CDVH,AFLOW,Co4Si4,62.0,Pnma,B16,GeS,False
Co-Si,_cHi-B3FCNQAJ7ehz0wEcrlF01de,AFLOW,Co4Si8,194.0,P6_3/mmc,C14,MgZn2,False
Co-Si,_o4kLh0sl_VVGDlnWrUpSWJ_zGTe,Miguel Marques,CoSi7,225.0,Fm-3m,,Ca7Ge,True
Co-Si,_o9oB5DSopXO_pqJhBjJ3wWsIYCb,AFLOW,Co2Si2,59.0,Pmmn,,,False
Co-Si,_wrtpP2UD8njBOL-buGlFjiiiWzf,AFLOW,Co2Si4,194.0,P6_3/mmc,,CaIn2,False
Co-Si,a-HXy5dNV5xVkRhPSgSm0RzlYhEv,OQMD,Co4Si4,198.0,P2_13,B20,FeSi,False
Co-Si,a7MvW_kmXtxn3QbFV5PsrhdFSVtB,AFLOW,CoSi,216.0,F-43m,B3,SZn,False
Co-Si,aGWo-vz8ux_LxUMSpI3fLsQjjM2T,AFLOW,Co2Si2,221.0,Pm-3m,B2,ClCs,False
Co-Si,aHG6On3cVGrafc94cldagyFSUvf0,AFLOW,Co2Si4,58.0,Pnnm,,CFe2,False
Co-Si,aOifyL0tsYYuocotgB7eabeMt4Vo,AFLOW,Co6Si2,63.0,Cmcm,,,False
Co-Si,aec7MFwoMmFldGE94zazqxtY3giy,AFLOW,CoSi5,189.0,P-62m,,,False
Co-Si,ajmMPH-i1U1VgdcV1WV07mCIgIHJ,AFLOW,CoSi3,71.0,Immm,,,False
Co-Si,apqwFHhOrUdYcC7cKibQj_FfLUmd,Miguel Marques,Co3Si,59.0,Pmmn,D0a,Cu3Ti,True
Co-Si,b1bMSB6wWnUweaaTG__TQyr_SUcE,AFLOW,Co3Si,166.0,R-3m,,,False
Co-Si,b3VFbySt7MzFpELQGc8RHgrDhSip,AFLOW,Co2Si,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,b9mPuaKNKPB0ul_pr__egTR0c4nh,Miguel Marques,Co5Si4,139.0,I4/mmm,,V4Zn5,True
Co-Si,bATnPzd1uJE8c8Djze9W88PK5Irx,Miguel Marques,Co3Si,59.0,Pmmn,D0a,Cu3Ti,True
Co-Si,bKirgjDtXluwHKvn0c0D2mJajNnt,Miguel Marques,Co5Si4,139.0,I4/mmm,,V4Zn5,True
Co-Si,bPdVvIOTvm9qmDHbaDhCf4HYRGpD,AFLOW,Co4Si2,225.0,Fm-3m,C1,CaF2,False
Co-Si,bTDByGUsV_WWn2UJSNjNLTAtxjm6,AFLOW,Co3Si,123.0,P4/mmm,,,False
Co-Si,bYFXtrTvgyhdpb8JG4C_SPmRy62w,AFLOW,Co2Si4,12.0,C2/m,,,False
Co-Si,bgm4H9xp1WzT8lY9j_QQrjlU76Pb,AFLOW,Co4Si,87.0,I4/m,D1a,MoNi4,False
Co-Si,bhMrr4uy2YpbQOmlQA7iAvB4fxpK,AFLOW,Co2Si4,63.0,Cmcm,C49,Si2Zr,False
Co-Si,bjgGoHloWoNDQPrQjwHExM-sZdmM,OQMD,Co8Si4,62.0,Pnma,C25,Cl2Hg,False
Co-Si,bqUYTj9iidbRfnJeAHcwDuYdBVzw,AFLOW,CoSi,123.0,P4/mmm,L10,AuCu,False
Co-Si,bu6dalJU3iU4FeJgyy1ebW9RiiWz,AFLOW,CoSi2,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,bvJp7968g-A1FBZLF7mVJFRcAMkT,AFLOW,Co3Si,44.0,Imm2,,,False
Co-Si,bvPIRW1A6MjeFmIvowjOj8cXeehp,Miguel Marques,Co5Si,38.0,Amm2,,,True
Co-Si,bwFaq2jim7eJ9aZXDfzb6fBsgi3B,Miguel Marques,Co3Si,71.0,Immm,,,True
Co-Si,bxLX5L4FPyE0SxB8pQqlogmzSqh3,Miguel Marques,CoSi,225.0,Fm-3m,B1,ClNa,True
Co-Si,bxZXiWSGZN5gSOcMwqbWGq2lLwzy,AFLOW,CoSi,166.0,R-3m,L11,CuPt,False
Co-Si,by8mLGgXGzFZW1PJ1ieS9J0oGXmu,AFLOW,Co4Si2,227.0,Fd-3m,C15,Cu2Mg,False
Co-Si,byghXYUNAiyEZWV2xD2lrgANhNJu,OQMD,CoSi2,225.0,Fm-3m,C1,CaF2,False
Co-Si,bze_GENXjZhjdbeBxkhhC10YGjL4,Miguel Marques,CoSi,225.0,Fm-3m,B1,ClNa,True
Co-Si,c-980OPpH0vHGCSpHUFN0IMFuUfE,AFLOW,Co2Si2,166.0,R-3m,,,False
Co-Si,c-HXpizqPPW1WUtYiIH60xg_VNYu,Miguel Marques,CoSi3,187.0,P-6m2,,,True
Co-Si,c0plQyyGcUoRi9qVoGx4nzNVdqxy,AFLOW,Co3Si,65.0,Cmmm,L13,CdPt3,False
Co-Si,c5KimFIH2p3PVbkjfBZUeOqA2ru5,OQMD,CoSi3,221.0,Pm-3m,L12,AuCu3,False
Co-Si,cKPFzpmz5IXEQMmi2BQKoXKkiB6T,Miguel Marques,CoSi5,38.0,Amm2,,,True
Co-Si,ccWBhDOQeECefJu6qauFBm2HPXJN,AFLOW,Co5Si,191.0,P6/mmm,D2d,CaCu5,False
Co-Si,cd_MZptM00BDh8BKVEFmLz1ax24l,OQMD,Co2Si2,194.0,P6_3/mmc,Bk,BN,False
Co-Si,cehHGNVPh-vl9EPKYkB_VtQV3WPQ,Miguel Marques,CoSi,166.0,R-3m,,,True
Co-Si,ch78wDyKJi_gH6MRyAzZyKfMVV52,Materials Project,CoSi2,225.0,Fm-3m,C1,CaF2,False
Co-Si,ckq2Urfmrds3BhNR2TIiRKZOJ7Lg,AFLOW,Co2Si2,51.0,Pmma,B19,AuCd,False
Co-Si,csN9vbJdCxChKa5lLmMcH32KTxbA,Miguel Marques,CoSi,62.0,Pnma,B16,GeS,True
Co-Si,cxGjCdR-109bc8xm2GlWN9ASLgrI,OQMD,Co3Si,225.0,Fm-3m,,,False
Co-Si,dAYAJpIJRAmiPrFJ4hQUcIRhKqdX,Miguel Marques,CoSi2,141.0,I4_1/amd,,Ga2Hf,True
Co-Si,dh1IWz4UoYz0re2qMIZX5-KYPtq_,AFLOW,Co3Si,123.0,P4/mmm,,,False
Co-Si,dhL9l5bV9mCPdh-sLH__W-I4hVmX,Miguel Marques,CoSi,198.0,P2_13,B20,FeSi,True
Co-Si,dpo7ZoEpRxlqbqHKMqJQhQho-BPd,AFLOW,Co4Si12,62.0,Pnma,D011,CFe3,False
Co-Si,dz0z559dP_GtjDuWv-AUv3Dt0r3W,AFLOW,Co3Si,225.0,Fm-3m,,,False
Co-Si,e--MFNhnLopCLO3h2kwqk10OlZc4,Materials Project,CoSi2,225.0,Fm-3m,C1,CaF2,False
Co-Si,eBzi96fcuilPcm8Ne5bjqYaiNkTe,AFLOW,Co4Si2,63.0,Cmcm,,,False
Co-Si,eGo_jMusPSxg6figayfJfnNtKYy2,OQMD,Co3Si,139.0,I4/mmm,,,False
Co-Si,eHaY3UQ9H4mXYbI41pfhdP-mYjJo,Miguel Marques,CoSi,62.0,Pnma,B16,GeS,True
Co-Si,eRGsgalHvLo5EOMKxL9VEX__CUFF,Miguel Marques,CoSi,166.0,R-3m,,,True
Co-Si,eUGQaEq0Hel4jViZsXrKhAv5c2fn,Miguel Marques,Co3Si,71.0,Immm,,,True
Co-Si,eVHPyS2BKFnmL7bLia-mSLb5sUM1,AFLOW,Co5Si,38.0,Amm2,,,False
Co-Si,eeG-mx6UVHXy9cyIZ4rApXlZhCrZ,AFLOW,Co2Si2,129.0,P4/nmm,B11,CuTi,False
Co-Si,eio5fkSN3dGTrOe5MZCeh5IpF7yN,Miguel Marques,Co8Si,139.0,I4/mmm,,Pt8Ti,True
Co-Si,erD9IS6uh6v1YG3y4PddhGzjhlc9,AFLOW,Co6Si6,166.0,R-3m,,,False
Co-Si,etyXfAdUFV2BNuBRxipJLlOoXUWK,AFLOW,CoSi2,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,exgWFlHJOva7hwPJbeuTm6AK5pa3,AFLOW,Co3Si,123.0,P4/mmm,,,False
Co-Si,f1T3UqQ_xqBgmgkCy1ALTp3-iCVK,Materials Project,CoSi,198.0,P2_13,B20,FeSi,False
Co-Si,f22iDsMYKoEB9bshiNK4PaCV9GXf,Miguel Marques,CoSi2,180.0,P6_222,C40,CrSi2,True
Co-Si,f4LNzkmWLSYuiyc0LSL4mu4bwgFT,OQMD,CoSi,225.0,Fm-3m,B1,ClNa,False
Co-Si,f5-oMVXU_83d3ylAYvPPlF-3IQMz,AFLOW,Co2Si4,12.0,C2/m,,,False
Co-Si,fO0iP9RhvmNZh1v36HPO4F-J6TV-,AFLOW,CoSi,123.0,P4/mmm,L10,AuCu,False
Co-Si,f_gQDSvCvJWXarfMu05dAuIDl22T,AFLOW,Co6Si10,193.0,P6_3/mcm,D88,Mn5Si3,False
Co-Si,fpC2MRkUxuKQkX-JC3Yaymj2Dw_W,Miguel Marques,CoSi7,225.0,Fm-3m,,Ca7Ge,True
Co-Si,fqiLa3UXSsMgXhG6hqDMfVwqM4Co,OQMD,CoSi,123.0,P4/mmm,L10,AuCu,False
Co-Si,fslz_h-w7zXOI3-OkAbSo8zsByOZ,AFLOW,Co2Si2,59.0,Pmmn,,CuTe,False
Co-Si,ftkjN0lMoOm437M00umApIU5zCsq,Miguel Marques,CoSi5,38.0,Amm2,,,True
Co-Si,fy3hKPaqSDCImTVbnAK4yU75iKCQ,AFLOW,Co12Si12,57.0,Pbcm,,,False
Co-Si,g0c0Biab7cBSyEZ1iT-CTxQaTrMM,Akhil S nair,Co2Si3,116.0,P-4c2,,Ru2Sn3,True
Co-Si,gTaht7kKdwjVTVy6B_iSifjhgQ70,OQMD,CoSi,221.0,Pm-3m,B2,ClCs,False
Co-Si,gTdEGSX8rF8d0KsHKnP7_9SlED7D,AFLOW,Co2Si4,227.0,Fd-3m,C15,Cu2Mg,False
Co-Si,gVbCLCh5dA8tv7sMAA0bFF5lgm3W,OQMD,CoSi,123.0,P4/mmm,L10,AuCu,False
Co-Si,gd5R9o9iCMc9Ugq75z-xU9CSrf_o,Miguel Marques,CoSi,14.0,P2_1/c,,,True
Co-Si,gjs8ElhZz3g2PtsVGSqPlMU_r_EO,OQMD,Co2Si2,51.0,Pmma,B19,AuCd,False
Co-Si,goj-qqCk1KzfR9ehShd6ZJrY3d5y,AFLOW,Co6Si2,63.0,Cmcm,,,False
Co-Si,h-rRNT8-ogUr9Q_LVyf8HuuxgV1W,OQMD,CoSi,166.0,R-3m,L11,CuPt,False
Co-Si,h8tHI1xfpNgE6OugDBrWIcg7T8Pn,AFLOW,Co2Si2,166.0,R-3m,,,False
Co-Si,hBGC8sEMI38Ha7r2lFTxtEjvG3YZ,OQMD,Co2Si2,194.0,P6_3/mmc,Bk,BN,False
Co-Si,hFl-OncLIauVu8tq0hLIXo3c_QmH,Blake Dallmann,CoSi,198.0,P2_13,B20,FeSi,True
Co-Si,hGGaDihDBq36nsWpxZQa2CCyb36K,AFLOW,Co2Si,139.0,I4/mmm,C11b,MoSi2,False
Co-Si,hMZlH0drto5STfEpXZGVJvGH0P0x,AFLOW,Co4Si8,141.0,I4_1/amd,,Ga2Hf,False
Co-Si,hMzZSea8O4zh49_Hj83ihXm4AMkF,AFLOW,Co4Si2,225.0,Fm-3m,C1,CaF2,False
Co-Si,hO4oLyvS-fOdvvcdjr1rORi3htnU,AFLOW,Co2Si4,12.0,C2/m,,,False
