chemsys,material_id,formula,composition_reduced,energy_above_hull,formation_energy_per_atom,is_stable,spacegroup,spacegroup_number,nsites,volume,density,band_gap
Hf-N,mp-11660,Hf3N4,Hf3 N4,0.069183676071432,-1.9047627092857131,False,I-43d,220,14,151.40068699971982,12.97488886785176,1.0259
Hf-N,mp-754434,Hf3N4,Hf3 N4,0.07350541678571401,-1.900440968571428,False,R-3m,166,7,84.66641678181843,11.600863500577582,1.0917
Hf-N,mp-755988,Hf3N4,Hf3 N4,0.018690800357141,-1.955255585000003,False,Fd-3m,227,14,183.2839909556721,10.717832354561029,0.9216000000000001
Hf-N,mp-776470,Hf3N4,Hf3 N4,0.0,-1.9739463853571442,True,Pnma,62,28,335.4955447440837,11.710480923591549,1.2648000000000001
Hf-N,mp-1224391,Hf4N3,Hf4 N3,0.043493647142856,-1.7253764866071442,False,R3m,160,7,91.95301365900714,13.651912424288552,0.0
Hf-N,mp-32994,Hf4N3,Hf4 N3,0.067138621428572,-1.70173151232143,False,I4/mmm,139,7,91.89858534650297,13.659997973733162,0.0
Hf-N,mp-1001834,HfN,Hf1 N1,0.9913501350000011,-0.9911279243750001,False,Pm-3m,221,2,22.3346617216587,14.311758759775891,0.0
Hf-N,mp-1001916,HfN,Hf1 N1,0.272690669999999,-1.709787389375002,False,F-43m,216,2,29.586256353994045,10.803945139832765,0.0
Hf-N,mp-1096994,HfN,Hf1 N1,0.020751347500002,-1.9617267118749981,False,P6_3/mmc,194,4,46.0726709681199,13.87583067466445,0.0
Hf-N,mp-2828,HfN,Hf1 N1,0.0,-1.982478059375001,True,Fm-3m,225,2,22.95971528254751,13.922136516412124,0.0
Hf-N,mp-1009219,HfN2,Hf1 N2,0.501018206388888,-1.034273426666665,False,P-6m2,187,3,35.11364594423141,9.765632530166249,0.0
Hf-N,mp-1018716,HfN2,Hf1 N2,0.456862051388888,-1.078429581666666,False,P6_3/mmc,194,6,69.877921643578,9.814457986737807,0.5762
Hf-N,mp-1102429,HfN2,Hf1 N2,0.41502236222222405,-1.12026927083333,False,Pa-3,205,12,134.8627677512666,10.170545030431674,1.188099999999999
N-Zr,mp-1014265,Zr2N,Zr2 N1,0.0,-1.4107297929166691,True,P4_2/mnm,136,6,96.9202031607171,6.731737935510314,0.0
N-Zr,mp-1188007,Zr3N,Zr3 N1,1.559094865000002,0.501047520312504,False,Pm-3m,221,4,70.11423691491298,6.8131914572273775,0.0
N-Zr,mp-1188048,Zr3N,Zr3 N1,1.550246367500001,0.49219902281250305,False,I4/mmm,139,4,73.16129441303701,6.529432315423566,0.0
N-Zr,mp-866083,Zr3N2,Zr3 N2,0.021269678999999,-1.615370775500002,False,R-3c,167,10,144.77230352461052,6.920666181673168,0.0
N-Zr,mp-11661,Zr3N4,Zr3 N4,0.060710533214287,-1.7916726607142852,False,I-43d,220,14,155.50014740376932,7.041507635225162,0.6862
N-Zr,mp-277,Zr3N4,Zr3 N4,0.0,-1.852383193928572,True,Pnma,62,28,348.3795536060767,6.285991608223824,0.970499999999999
N-Zr,mp-754353,Zr3N4,Zr3 N4,0.051992941071429,-1.800390252857143,False,R-3m,166,7,86.37513282492573,6.338372164600035,0.984399999999999
N-Zr,mp-754381,Zr3N4,Zr3 N4,0.042560274642859004,-1.809822919285713,False,Fd-3m,227,14,191.06576999285338,5.730777811552722,0.5628999999999991
N-Zr,mp-1009836,ZrN,Zr1 N1,0.8857635100000001,-1.089742936875001,False,Pm-3m,221,2,23.2416251248556,7.518393718896637,0.0
N-Zr,mp-1009838,ZrN,Zr1 N1,0.37215940499999706,-1.6033470418750042,False,P-6m2,187,2,25.237726950390876,6.92374906421429,0.0
N-Zr,mp-1009885,ZrN,Zr1 N1,0.321955844999997,-1.6535506018750041,False,F-43m,216,2,31.077032607264645,5.622791936538272,0.0
N-Zr,mp-1014160,ZrN,Zr1 N1,0.04915273249999701,-1.926353714375004,False,P-3m1,164,4,49.20084240566049,7.10311774399867,0.0
N-Zr,mp-1017546,ZrN,Zr1 N1,0.34318618249999805,-1.632320264375003,False,P6_3/mmc,194,4,51.15914440543093,6.831220122481746,0.0
N-Zr,mp-1093992,ZrN,Zr1 N1,0.0395966825,-1.9359097643750012,False,P6_3/mmc,194,4,48.300062724138805,7.235588465119544,0.0
N-Zr,mp-13126,ZrN,Zr1 N1,0.448492674999997,-1.527013771875005,False,P6_3mc,186,4,61.96740520854805,5.639729072649962,0.0
N-Zr,mp-1352,ZrN,Zr1 N1,0.0,-1.975506446875002,True,Fm-3m,225,2,24.152443144810146,7.2348659432912275,0.0
N-Zr,mp-1008600,ZrN2,Zr1 N2,1.19088266777778,-0.24985981638888602,False,P-3m1,164,3,43.72446138388747,4.528320181269826,0.0
N-Zr,mp-1072543,ZrN2,Zr1 N2,0.836209564444443,-0.604532919722222,False,I4/mmm,139,3,35.89912794460491,5.515408652971665,0.0
N-Zr,mp-1178600,ZrN2,Zr1 N2,0.334804502777776,-1.105937981388888,False,Pmmn,59,6,69.13216020547368,5.728111498651937,0.0
N-Ta,mp-10196,Ta2N,Ta2 N1,0.11325215000000101,-0.914662352249995,False,P-3m1,164,3,40.86627539119555,15.274225852144209,0.0
N-Ta,mp-1079438,Ta2N,Ta2 N1,0.0,-1.027914502250003,True,P-31m,162,9,119.99852979935649,15.605209191431054,0.0
N-Ta,mp-1208406,Ta2N3,Ta2 N3,0.0605685035,-1.240560267183332,False,Pnma,62,20,199.9905554692441,13.414994794641364,0.0
N-Ta,mp-1217984,Ta3N,Ta3 N1,0.23252838999999803,-0.538407486687503,False,P-3m1,164,4,59.911457591577246,15.433971747492405,0.0
N-Ta,mp-1204550,Ta3N5,Ta3 N5,0.18950398031249802,-1.097230446031254,False,Pnma,62,32,323.6281201041311,12.578714527879947,0.0
N-Ta,mp-1205002,Ta3N5,Ta3 N5,0.165615380937499,-1.121119045406253,False,Pnma,62,32,313.52016807935223,12.984254763967785,0.0
N-Ta,mp-27488,Ta3N5,Ta3 N5,0.0,-1.286734426343752,True,Cmcm,63,16,205.6047591845259,9.899638880272295,1.214099999999999
N-Ta,mp-1218021,Ta4N3,Ta4 N3,0.13373046333333602,-1.083207836511901,False,I4/mmm,139,7,83.6961140585824,15.19377723768807,0.0
