chemsys,cod_id,formula,spacegroup,sg_number,a,b,c,vol,year,journal
N-Ta,2106407,N Ta,P -6 2 m,189,5.196,5.196,2.911,68.063,1978,"Acta Crystallographica B (24,1968-38,1982)"
N-Ta,2310957,N Ta,F m -3 m,225,4.358,4.358,4.358,82.768,1975,"Acta Crystallographica A (24,1968-38,1982)"
N-Ta,9008876,N Ta,P 63 m c,186,3.05,3.05,4.94,39.798,1963,Crystal Structures
N-Ta,9008975,N Ta,P 6/m m m,191,5.191,5.191,2.908,67.862,1963,Crystal Structures
N-Ti,1011099,N Ti,F m -3 m,225,4.244,4.244,4.244,76.4,1939,Acta Physicochimica (USSR)
N-Ti,1011100,N0.88 Ti0.88,F m -3 m,225,4.22,4.22,4.22,75.2,1939,Acta Physicochimica (USSR)
N-Ti,1011101,N Ti,F m -3 m,225,4.32,4.32,4.32,80.6,1924,"Physica (Amsterdam) (1,1921-13,1933)"
N-Ti,1011102,N Ti,F m -3 m,225,4.225,4.225,4.225,75.4,1936,Archiv fuer das Eisenhuettenwesen
N-Ti,1011316,N Ti,F m -3 m,225,4.4,4.4,4.4,85.2,1925,Zeitschrift fuer Physik
N-Ti,1100029,N Ti2,I 41/a m d :2,141,4.14,4.14,8.805,150.9,1969,"Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, Serie C, Sciences Chimiques (1966-)"
N-Ti,1100030,N Ti2,I 41/a m d :2,141,4.1493,4.1493,8.7858,151.3,1985,"Acta Crystallographica, Section C: Crystal Structure Communications"
N-Ti,1100031,N Ti2,P 42/m n m,136,4.9452,4.9452,3.0342,74.2,1962,"Acta Chemica Scandinavica (1-27,1973-42,1988)"
N-Ti,1100032,N1.29 Ti3,R -3 m :H,166,2.9809,2.9809,21.6642,170.5,1986,Journal of the Less-Common Metals
N-Ti,1100033,N Ti,F m -3 m,225,4.242,4.242,4.242,76.3,1948,Fiat Review of German Science
N-Ti,1100034,N Ti,F m -3 m,225,4.244,4.244,4.244,76.4,1941,Mineralogical Magazine (1969-)
N-Ti,1100036,N Ti,F m -3 m,225,4.238,4.238,4.238,76.1,1954,"Acta Chemica Scandinavica (1-27,1973-42,1988)"
N-Ti,1100037,N0.9 Ti,F m -3 m,225,4.239,4.239,4.239,76.2,1978,"Acta Chemica Scandinavica, Series A: (28,1974-)"
N-Ti,1100039,N Ti0.76,F m -3 m,225,4.235,4.235,4.235,76,1975,Acta Chemica Scandinavica
N-Ti,1100041,N0.61 Ti,I 41/a m d :1,141,4.198,4.198,8.591,151.4,1977,Journal of Applied Crystallography
N-Ti,1101045,N Ti,F m -3 m,225,4.244,4.244,4.244,76.4,1948,Fiat Review of German Science
N-Ti,1101047,N2.333 Ti4,R -3 m :H,166,2.9795,2.9795,28.96492,227.8,1986,Journal of the Less-Common Metals
N-Ti,1101081,N Ti,F m -3 m,,4.241,4.241,4.241,76.28,,
N-Ti,1538607,N1.29 Ti3,R -3 m :H,166,2.9809,2.9809,2.16642,16.671,1986,Journal of the Less-Common Metals
N-Ti,9008748,N Ti,F m -3 m,225,4.235,4.235,4.235,75.956,1963,Crystal Structures
