chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Co,aflow:69083a1b67d1563a,Bi8Co4,69,oF12,0.210863,-4.85016,,False
Bi-Co,aflow:6981e7770ec95d22,Bi1Co2,139,tI6,0.51023,-5.57466,,False
Bi-Co,aflow:695a433e24674f01,Bi2Co2,194,hP4,0.575293,-4.99767,,False
Bi-Co,aflow:6a3207df9eb2bb3e,Bi16Co8,194,hP24,1.38909,-3.67193,,False
Bi-Co,aflow:6cd76f3ec44f47be,Bi1Co4,139,tI10,0.373542,-6.1209,,False
Bi-Co,aflow:6c8dcdc348ca1746,Bi3Co1,225,cF16,0.600606,-4.20445,,False
Bi-Co,aflow:6c03ef5272bc484c,Bi3Co1,25,oP4,0.268264,-4.5368,,False
Bi-Co,aflow:6d270d8b3adcd313,Bi2Co4,141,tI12,0.468256,-5.61664,,False
Bi-Co,aflow:6fa7aed7ef5cda3e,Bi3Co1,123,tP4,0.211048,-4.59401,,False
Bi-Co,aflow:70941d295eac8f67,Bi5Co1,38,oS12,0.374578,-4.17452,,False
Bi-Co,aflow:715929a3f93804e3,Bi1Co3,225,cF16,0.44741,-5.89345,,False
Bi-Co,aflow:72e7623efb096124,Bi2Co6,63,oS16,0.386737,-5.95412,,False
Bi-Co,aflow:7355e423806d13c8,Bi2Co2,129,tP4,0.279814,-5.29315,,False
Bi-Co,aflow:78188dffd3eb04d5,Bi2Co1,164,hP3,0.194882,-4.86614,,False
Bi-Co,aflow:78de89133fa498c9,Bi1Co2,139,tI6,0.510323,-5.57457,,False
Bi-Co,aflow:791086130f300496,Bi6Co18,59,oP24,0.407978,-5.93288,,False
Bi-Co,aflow:7cbd5814da63c85d,Bi4Co2,140,tI12,0.254761,-4.80627,,False
Bi-Co,aflow:7f7a209fffd82bb1,Bi1Co2,139,tI6,0.510353,-5.57454,,False
Bi-Co,aflow:7fa9b97b8082f0ad,Bi1Co2,123,tP3,0.530457,-5.55444,,False
