cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co12_Bi8_m3_n2_z4_sg211_trial000_3ab8a2c617.cif,Co12Bi8,211,20,12,8,2.790000,4.761639,3.391616,863.692888,43.184644,0.255372
Co12_Bi8_m3_n2_z4_sg197_trial000_2b80f6289e.cif,Co12Bi8,197,20,12,8,2.790000,3.610000,3.243152,616.473905,30.823695,0.357782
Co12_Bi8_m3_n2_z4_sg212_trial000_46fd446171.cif,Co12Bi8,212,20,12,8,2.947680,3.732179,2.790000,828.422437,41.421122,0.266245
Co12_Bi8_m3_n2_z4_sg217_trial000_852ef635de.cif,Co12Bi8,217,20,12,8,2.790000,4.150485,2.899305,491.414074,24.570704,0.448834
Co12_Bi8_m3_n2_z4_sg223_trial000_20073b6daa.cif,Co12Bi8,223,20,12,8,2.790000,3.945656,2.790000,491.414074,24.570704,0.448834
Co12_Bi8_m3_n2_z4_sg207_trial000_6eed83dd63.cif,Co12Bi8,207,20,12,8,3.945656,4.823287,2.790000,897.675523,44.883776,0.245705
Co3_Bi4_m3_n4_z1_sg002_trial000_713af7a293.cif,Co3Bi4,2,7,3,4,3.089372,3.168818,2.790000,328.313878,46.901983,0.261146
Co12_Bi8_m3_n2_z4_sg229_trial000_365822ccf6.cif,Co12Bi8,229,20,12,8,2.790000,3.945656,2.790000,491.414074,24.570704,0.448834
Co3_Bi4_m3_n4_z1_sg075_trial000_270e3a9d91.cif,Co3Bi4,75,7,3,4,3.786546,3.786546,2.790000,344.880806,49.268687,0.248602
Co3_Bi4_m3_n4_z1_sg089_trial000_d49d7cc095.cif,Co3Bi4,89,7,3,4,3.945656,3.945656,2.790000,286.655153,40.950736,0.299098
Co3_Bi4_m3_n4_z1_sg081_trial000_6ce6b3a4fd.cif,Co3Bi4,81,7,3,4,2.989892,2.790000,2.816547,252.915963,36.130852,0.338998
Co3_Bi4_m3_n4_z1_sg164_trial000_b093b4e810.cif,Co3Bi4,164,7,3,4,3.280049,2.790000,2.790000,170.885992,24.412285,0.501726
Co3_Bi4_m3_n4_z1_sg177_trial000_0608ec3954.cif,Co3Bi4,177,7,3,4,2.790000,3.221615,2.790000,244.00422,34.857746,0.351379
Co3_Bi4_m3_n4_z1_sg195_trial000_be52da2436.cif,Co3Bi4,195,7,3,4,3.945656,2.790000,2.790000,173.741112,24.820159,0.493481
Co3_Bi4_m3_n4_z1_sg200_trial000_9b2433365a.cif,Co3Bi4,200,7,3,4,3.945656,2.790000,2.790000,173.741112,24.820159,0.493481
Co3_Bi4_m3_n4_z1_sg207_trial000_09e2286011.cif,Co3Bi4,207,7,3,4,3.945656,3.945656,2.790000,173.741112,24.820159,0.493481
